Weekday,day,month,year,Location_Book,modern_name,geo_id,latitude,longitude,Loc_Prob_Code,Notes
Sunday,17,6,1291,Barcelona,Barcelona,3128760,41.3850639,2.1734035,,
Monday,18,6,1291,Barcelona,Barcelona,3128760,41.3850639,2.1734035,,Death of Alfonso III and announcement of Jaime II becoming king.
Tuesday,19,6,1291,,,,,,,
Wednesday,20,6,1291,,,,,,,
Thursday,21,6,1291,,,,,,,
Friday,22,6,1291,,,,,,,
Saturday,23,6,1291,Barcelona,Barcelona,3128760,41.3850639,2.1734035,,"Sets sail this day for Mesina on a ship with Ramon de Manresa, one of his captains."
Sunday,24,6,1291,,,,,,,
Monday,25,6,1291,,,,,,,
Tuesday,26,6,1291,,,,,,,
Wednesday,27,6,1291,,,,,,,
Thursday,28,6,1291,,,,,,,
Friday,29,6,1291,,,,,,,
Saturday,30,6,1291,,,,,,,
Sunday,1,7,1291,,,,,,,
Monday,2,7,1291,,,,,,,
Tuesday,3,7,1291,,,,,,,
Wednesday,4,7,1291,,,,,,,
Thursday,5,7,1291,Messina,Messina,2524170,38.1938137,15.5540152,,In between these two is travel time on ship!
Friday,6,7,1291,Messina,Messina,2524170,38.1938137,15.5540152,,
Saturday,7,7,1291,,,,,,,
Sunday,8,7,1291,Messina,Messina,2524170,38.1938137,15.5540152,,
Monday,9,7,1291,,,,,,,
Tuesday,10,7,1291,,,,,,,
Wednesday,11,7,1291,,,,,,,
Thursday,12,7,1291,,,,,,,
Friday,13,7,1291,,,,,,,
Saturday,14,7,1291,Messina,Messina,2524170,38.1938137,15.5540152,,
Sunday,15,7,1291,,,,,,,
Monday,16,7,1291,,,,,,,
Tuesday,17,7,1291,,,,,,,
Wednesday,18,7,1291,Messina,Messina,2524170,38.1938137,15.5540152,,
Thursday,19,7,1291,,,,,,,
Friday,20,7,1291,Messina,Messina,2524170,38.1938137,15.5540152,,The Regesta states that the king ate the main meal of the day at San Pedro de la Piedra.
Saturday,21,7,1291,Palermo,Palermo,2523920,38.1156879,13.3612671,,
