day,month,year,Location_Book,modern_name,loc_codes,geo_id,latitude,longitude,Notes
1,5,1352,Gerona,Girona,,3121456,41.9794005,2.8214264,
6,5,1352,Vilafranca de Penedes,Vilafranca del Penedès,,3105600,41.3461265,1.6979398,
10,5,1352,Montblanch,Montblanc,,3116411,41.3744399,1.1615674,
1,7,1352,Lleyda,Lérida,,3118514,41.6175899,0.6200146,
2,7,1352,Lleyda,Lérida,,3118514,41.6175899,0.6200146,
3,7,1352,Lleyda,Lérida,,3118514,41.6175899,0.6200146,
4,7,1352,Lleyda,Lérida,,3118514,41.6175899,0.6200146,
5,7,1352,Lleyda,Lérida,,3118514,41.6175899,0.6200146,
6,7,1352,Lleyda,Lérida,,3118514,41.6175899,0.6200146,
7,7,1352,Lleyda,Lérida,,3118514,41.6175899,0.6200146,
8,7,1352,Lleyda,Lérida,,3118514,41.6175899,0.6200146,
9,7,1352,Lleyda,Lérida,,3118514,41.6175899,0.6200146,
10,7,1352,Lleyda,Lérida,,3118514,41.6175899,0.6200146,
11,7,1352,Lleyda,Lérida,,3118514,41.6175899,0.6200146,
12,7,1352,Alguayre,Alguaire,,3130379,41.7366252,0.5836318,
13,7,1352,Lleyda,Lérida,,3118514,41.6175899,0.6200146,
14,7,1352,Lleyda,Lérida,,3118514,41.6175899,0.6200146,
15,7,1352,Lleyda,Lérida,,3118514,41.6175899,0.6200146,
16,7,1352,Lleyda,Lérida,,3118514,41.6175899,0.6200146,
17,7,1352,Lleyda,Lérida,,3118514,41.6175899,0.6200146,
18,7,1352,Lleyda,Lérida,,3118514,41.6175899,0.6200146,
19,7,1352,Lleyda,Lérida,,3118514,41.6175899,0.6200146,
20,7,1352,Alguayre,Alguaire,,3130379,41.7366252,0.5836318,
20,7,1352,Almenar,Almenar,,3130306,41.7970523,0.5680948,
21,7,1352,Almenar,Almenar,,3130306,41.7970523,0.5680948,
21,7,1352,Tamarit de Lithera,Tamarite de Litera,,3108360,41.8673774,0.4213552,
22,7,1352,Tamarit de Lithera,Tamarite de Litera,,3108360,41.8673774,0.4213552,
23,7,1352,Tamarit de Lithera,Tamarite de Litera,,3108360,41.8673774,0.4213552,
23,7,1352,Sant Esteva de Lithera,San Esteban de Litera,,3110675,41.9051717,0.3260912,
24,7,1352,Sant Esteva de Lithera,San Esteban de Litera,,3110675,41.9051717,0.3260912,
24,7,1352,Muntçò,Monzón,,3116224,41.9157645,0.1928216,
25,7,1352,Muntçò,Monzón,,3116224,41.9157645,0.1928216,
25,7,1352,Barbastre,Barbastro,,3128795,42.0360435,0.1284404,
26,7,1352,Barbastre,Barbastro,,3128795,42.0360435,0.1284404,
26,7,1352,Possant,Panzano,,3114408,42.2102948,-0.1679362,"This is far, but plausible."
27,7,1352,Loch de Possant,Panzano,,3114408,42.2102948,-0.1679362,
27,7,1352,Monestir de Cassoues,Monasterio de Casbas,,GNA_0018,42.156443,-0.140035,
28,7,1352,Monestir de Cassoues,Monasterio de Casbas,,GNA_0018,42.156443,-0.140035,
28,7,1352,Arbanies,Arbaniés,,3129811,42.1622494,-0.2488031,
29,7,1352,Loch d'Arbanies,Arbaniés,,3129811,42.1622494,-0.2488031,
29,7,1352,Oscha,Huesca,,3120514,42.131845,-0.4078058,
30,7,1352,Oscha,Huesca,,3120514,42.131845,-0.4078058,
31,7,1352,Oscha,Huesca,,3120514,42.131845,-0.4078058,
1,8,1352,Oscha,Huesca,,3120514,42.131845,-0.4078058,
2,8,1352,Oscha,Huesca,,3120514,42.131845,-0.4078058,
3,8,1352,Oscha,Huesca,,3120514,42.131845,-0.4078058,
4,8,1352,Oscha,Huesca,,3120514,42.131845,-0.4078058,
5,8,1352,Oscha,Huesca,,3120514,42.131845,-0.4078058,
6,8,1352,Oscha,Huesca,,3120514,42.131845,-0.4078058,
7,8,1352,Oscha,Huesca,,3120514,42.131845,-0.4078058,
8,8,1352,Oscha,Huesca,,3120514,42.131845,-0.4078058,
9,8,1352,Oscha,Huesca,,3120514,42.131845,-0.4078058,
10,8,1352,Oscha,Huesca,,3120514,42.131845,-0.4078058,
11,8,1352,Oscha,Huesca,,3120514,42.131845,-0.4078058,
12,8,1352,Oscha,Huesca,,3120514,42.131845,-0.4078058,
