day,month,year,Location_Book,modern_name,Loc_Codes,geo_id,latitude,longitude,Notes
1,1,1387,,,,,,,
2,1,1387,,,,,,,
3,1,1387,,,,,,,
4,1,1387,Mort del senyor rei,,,,,,death of the king
5,1,1387,En lo loch de Hostalrich,Hostalric,,3120616,41.7433285,2.6276966,"Death of Joan's father, Pere the Ceremonious in Barcelona"
6,1,1387,En lo loch de Hostalrich,Hostalric,,3120616,41.7433285,2.6276966,
7,1,1387,en lo loch de holstalrich,Hostalric,,3120616,41.7433285,2.6276966,
8,1,1387,en lo loch de holstalrich,Hostalric,,3120616,41.7433285,2.6276966,
9,1,1387,loco de Santo celdonio,Sant Celoni,,3110813,41.6826815,2.48965,
10,1,1387,en lo loch de cardedeu,Cardedeu,,3126317,41.6394024,2.3591531,
10,1,1387,Villa granullariourum,Granollers,,3121145,41.6061927,2.2870889,
11,1,1387,en loch lo de granollers,Granollers,,3121145,41.6061927,2.2870889,
12,1,1387,loco de granollers,Granollers,,3121145,41.6061927,2.2870889,
13,1,1387,loco de granollers,Granollers,,3121145,41.6061927,2.2870889,
14,1,1387,loco de granollers,Granollers,,3121145,41.6061927,2.2870889,
15,1,1387,loco de granollers,Granollers,,3121145,41.6061927,2.2870889,
16,1,1387,villa de granollers,Granollers,,3121145,41.6061927,2.2870889,
17,1,1387,villa de granollers,Granollers,,3121145,41.6061927,2.2870889,
18,1,1387,villa de granollers,Granollers,,3121145,41.6061927,2.2870889,
19,1,1387,barchinose,Barcelona,,3128760,41.3850639,2.1734035,
20,1,1387,Barcelona ,Barcelona,,3128760,41.3850639,2.1734035,
21,1,1387,barcelona,Barcelona,,3128760,41.3850639,2.1734035,
22,1,1387,barcelona,Barcelona,,3128760,41.3850639,2.1734035,
23,1,1387,barcelona,Barcelona,,3128760,41.3850639,2.1734035,
24,1,1387,barcelona,Barcelona,,3128760,41.3850639,2.1734035,
25,1,1387,barcelona ,Barcelona,,3128760,41.3850639,2.1734035,
26,1,1387,barcelona,Barcelona,,3128760,41.3850639,2.1734035,
27,1,1387,barcelona,Barcelona,,3128760,41.3850639,2.1734035,
28,1,1387,barcelona ,Barcelona,,3128760,41.3850639,2.1734035,
29,1,1387,barcelona,Barcelona,,3128760,41.3850639,2.1734035,
30,1,1387,barcelona,Barcelona,,3128760,41.3850639,2.1734035,
31,1,1387,barcelona,Barcelona,,3128760,41.3850639,2.1734035,
1,2,1387,barcelona,Barcelona,,3128760,41.3850639,2.1734035,
2,2,1387,barcelona,Barcelona,,3128760,41.3850639,2.1734035,
3,2,1387,barcelona,Barcelona,,3128760,41.3850639,2.1734035,
4,2,1387,barcelona,Barcelona,,3128760,41.3850639,2.1734035,
5,2,1387,barcelona,Barcelona,,3128760,41.3850639,2.1734035,
6,2,1387,barcelona,Barcelona,,3128760,41.3850639,2.1734035,
7,2,1387,barcelona,Barcelona,,3128760,41.3850639,2.1734035,
8,2,1387,barcelona,Barcelona,,3128760,41.3850639,2.1734035,
9,2,1387,barcelona ,Barcelona,,3128760,41.3850639,2.1734035,
10,2,1387,barcelona,Barcelona,,3128760,41.3850639,2.1734035,
11,2,1387,barcelona,Barcelona,,3128760,41.3850639,2.1734035,
12,2,1387,barcelona,Barcelona,,3128760,41.3850639,2.1734035,
13,2,1387,barcelona,Barcelona,,3128760,41.3850639,2.1734035,
14,2,1387,barcelona,Barcelona,,3128760,41.3850639,2.1734035,
15,2,1387,barcelona,Barcelona,,3128760,41.3850639,2.1734035,
16,2,1387,barcelona,Barcelona,,3128760,41.3850639,2.1734035,
17,2,1387,barcelona,Barcelona,,3128760,41.3850639,2.1734035,
18,2,1387,barcelona,Barcelona,,3128760,41.3850639,2.1734035,
19,2,1387,barcelona,Barcelona,,3128760,41.3850639,2.1734035,
20,2,1387,barcelona,Barcelona,,3128760,41.3850639,2.1734035,
21,2,1387,barcelona,Barcelona,,3128760,41.3850639,2.1734035,
22,2,1387,barcelona,Barcelona,,3128760,41.3850639,2.1734035,
23,2,1387,barcelona,Barcelona,,3128760,41.3850639,2.1734035,
24,2,1387,Barcelona ,Barcelona,,3128760,41.3850639,2.1734035,
25,2,1387,barcelona,Barcelona,,3128760,41.3850639,2.1734035,
26,2,1387,Barcelona ,Barcelona,,3128760,41.3850639,2.1734035,
27,2,1387,barcelona,Barcelona,,3128760,41.3850639,2.1734035,
28,2,1387,barcelona,Barcelona,,3128760,41.3850639,2.1734035,
1,3,1387,barcelona ,Barcelona,,3128760,41.3850639,2.1734035,
2,3,1387,barcelona,Barcelona,,3128760,41.3850639,2.1734035,
3,3,1387,barcelona,Barcelona,,3128760,41.3850639,2.1734035,
4,3,1387,barcelona,Barcelona,,3128760,41.3850639,2.1734035,
5,3,1387,barcelona,Barcelona,,3128760,41.3850639,2.1734035,
6,3,1387,barcelona,Barcelona,,3128760,41.3850639,2.1734035,
7,3,1387,barcelona,Barcelona,,3128760,41.3850639,2.1734035,
8,3,1387,barcelona,Barcelona,,3128760,41.3850639,2.1734035,
9,3,1387,barcelona,Barcelona,,3128760,41.3850639,2.1734035,
10,3,1387,barcelona,Barcelona,,3128760,41.3850639,2.1734035,
11,3,1387,barcelona,Barcelona,,3128760,41.3850639,2.1734035,
