Weekday,day,month,year,Location_Book,modern_name,geo_id,Loc_Codes,latitude,longitude,Notes
,19,5,1396,Mort del Rey en Johan I,,,,,,FN1
,20,5,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,
,21,5,1396,,,,,,,
,22,5,1396,,,,,,,
,23,5,1396,,,,,,,
,24,5,1396,In castro nostro terrae Jacii,Aci Castello,2525792,,37.5557219,15.1444802,
,25,5,1396,,,,,,,
,26,5,1396,,,,,,,
,27,5,1396,In castro nostro terrae Jacii,Aci Castello,2525792,,37.5557219,15.1444802,
,28,5,1396,,,,,,,
,29,5,1396,In castro nostro terrae Jacii,Aci Castello,2525792,,37.5557219,15.1444802,
,30,5,1396,,,,,,,
,31,5,1396,,,,,,,
,1,6,1396,,,,,,,FN2
,2,6,1396,,,,,,,
,3,6,1396,,,,,,,
,4,6,1396,,,,,,,
,5,6,1396,,,,,,,
,6,6,1396,In termini Leotini,Lentini,2524410,,37.2838188,14.996114,FN3
,7,6,1396,,,,,,,
,8,6,1396,Calathagironi,Caltagirone,2525450,,37.2380929,14.5126066,
,9,6,1396,,,,,,,
,10,6,1396,Campo apud Platem,Camp near Piazza Armerina,TL_0008,,37.3843432,14.3821978,
,11,6,1396,,,,,,,
,12,6,1396,,,,,,,
,13,6,1396,Calatagirone,Caltagirone,2525450,,37.2380929,14.5126066,
,14,6,1396,,,,,,,
,15,6,1396,In obsidione terrae Placee,Camp near Piazza Armerina,TL_0008,,37.3843432,14.3821978,"All these locatiaons: Placee, Plaça, Platea, are all the modern city of Piazza Armerina.  This entry indicates they have the city under siege, but the others only state at his encampment near the city: http://www.storiamediterranea.it/public/md1_dir/b781.pdf"
,16,6,1396,,,,,,,
,17,6,1396,,,,,,,
,18,6,1396,In hoste terrae Placee,Camp near Piazza Armerina,TL_0008,,37.3843432,14.3821978,FN4
,19,6,1396,,,,,,,
,20,6,1396,Campo apud Plateam,Camp near Piazza Armerina,TL_0008,,37.3843432,14.3821978,
,21,6,1396,,,,,,,
,22,6,1396,Camp denant Plaça,Camp near Piazza Armerina,TL_0008,,37.3843432,14.3821978,
,23,6,1396,Campo apud Plateam,Camp near Piazza Armerina,TL_0008,,37.3843432,14.3821978,
,24,6,1396,Campo apud Plateam,Camp near Piazza Armerina,TL_0008,,37.3843432,14.3821978,
,25,6,1396,Campo apud Plateam,Camp near Piazza Armerina,TL_0008,,37.3843432,14.3821978,
,26,6,1396,Campo apud Plateam,Camp near Piazza Armerina,TL_0008,,37.3843432,14.3821978,
,27,6,1396,Campo apud Plateam,Camp near Piazza Armerina,TL_0008,,37.3843432,14.3821978,FN5
,28,6,1396,Campo apud Plateam,Camp near Piazza Armerina,TL_0008,,37.3843432,14.3821978,
,29,6,1396,,,,,,,
,30,6,1396,,,,,,,
,1,7,1396,,,,,,,FN6
,2,7,1396,,,,,,,
,3,7,1396,,,,,,,
,4,7,1396,,,,,,,
,5,7,1396,In castro Aydoni,Aidone,2525761,,37.4159153,14.4454965,FN7
,6,7,1396,,,,,,,
,7,7,1396,,,,,,,
,8,7,1396,Loco d'Andoni Regni Sicilie,Aidone,2525761,,37.4159153,14.4454965,
,9,7,1396,,,,,,,
,10,7,1396,,,,,,,
,11,7,1396,,,,,,,
,12,7,1396,,,,,,,
,13,7,1396,,,,,,,
,14,7,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,
,15,7,1396,,,,,,,
,16,7,1396,,,,,,,
,17,7,1396,,,,,,,
,18,7,1396,,,,,,,
,19,7,1396,,,,,,,
,20,7,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,
,20,7,1396,In terrae Aydoni,Aidone,2525761,,37.4159153,14.4454965,
,21,7,1396,,,,,,,
,22,7,1396,,,,,,,
,23,7,1396,,,,,,,
,24,7,1396,,,,,,,FN8
,25,7,1396,,,,,,,
,26,7,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,
,27,7,1396,,,,,,,
,28,7,1396,Castell de Catania,Castello Ursino,10281999,,37.4990134,15.0844539,
,29,7,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,FN9
,30,7,1396,,,,,,,
,31,7,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,
,1,8,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,
,2,8,1396,In castro Jacii,Aci Castello,2525792,,37.5557219,15.1444802,FN10
,3,8,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,
,4,8,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,
,5,8,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,
,6,8,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,
,7,8,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,
,8,8,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,
,9,8,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,
,10,8,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,
,11,8,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,FN11
,12,8,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,
,13,8,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,
,14,8,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,
,15,8,1396,In castro Cathanie,Castello Ursino,10281999,,37.4990134,15.0844539,
,16,8,1396,Cathanie,Catania,2525068,,37.5078772,15.0830304,
,17,8,1396,Catania,Catania,2525068,,37.5078772,15.0830304,
,18,8,1396,Catania,Catania,2525068,,37.5078772,15.0830304,
,19,8,1396,Catania,Catania,2525068,,37.5078772,15.0830304,
,20,8,1396,Catania,Catania,2525068,,37.5078772,15.0830304,
,21,8,1396,Catania,Catania,2525068,,37.5078772,15.0830304,
,22,8,1396,Catania,Catania,2525068,,37.5078772,15.0830304,
,23,8,1396,,,,,,,
,24,8,1396,In terra abermine,Taormina,2522975,,37.8516366,15.2853127,FN12
,25,8,1396,,,,,,,
,26,8,1396,In campo Castilionis,Castiglione di Sicilia,2525079,,37.8818873,15.1210798,FN13
,27,8,1396,,,,,,,
,28,8,1396,In campo castilionis,Castiglione di Sicilia,2525079,,37.8818873,15.1210798,
,29,8,1396,,,,,,,
,30,8,1396,,,,,,,
,31,8,1396,In castro terre Castri Regalis regni Siciliae,Castiglione di Sicilia,2525079,,37.8818873,15.1210798,FN14
,1,9,1396,Messina,Messina,2524170,,38.1938137,15.5540152,
,2,9,1396,Castro Milacii,Castillo de Milazzo,10529345,,38.2301602,15.2424825,FN15
,3,9,1396,Castell de Milaç,Castillo de Milazzo,10529345,,38.2301602,15.2424825,
,4,9,1396,Castell de Milaç,Castillo de Milazzo,10529345,,38.2301602,15.2424825,
,5,9,1396,Castell de Milaç,Castillo de Milazzo,10529345,,38.2301602,15.2424825,FN16
,6,9,1396,Castro Milacii,Castillo de Milazzo,10529345,,38.2301602,15.2424825,
,7,9,1396,Castro Milacii,Castillo de Milazzo,10529345,,38.2301602,15.2424825,
,8,9,1396,Castro Milacii,Castillo de Milazzo,10529345,,38.2301602,15.2424825,
,9,9,1396,Castro Milacii,Castillo de Milazzo,10529345,,38.2301602,15.2424825,
,10,9,1396,Castell de Milaç del Regne de Sicilia,Castillo de Milazzo,10529345,,38.2301602,15.2424825,
,11,9,1396,Milazzo,Castillo de Milazzo,10529345,,38.2301602,15.2424825,
,12,9,1396,Milazzo,Castillo de Milazzo,10529345,,38.2301602,15.2424825,
,13,9,1396,,,,,,,
,14,9,1396,Messina,Messina,2524170,,38.1938137,15.5540152,
,15,9,1396,,,,,,,
,16,9,1396,Castro de Milacii,Castillo de Milazzo,10529345,,38.2301602,15.2424825,
,17,9,1396,,,,,,,
