Weekday,day,month,year,Location_Book,modern_name,Loc_Code,Notes,geo_id,latitude,longitude
,1,1,1328,Cesarauguste,Zaragoza,,,3104324,41.6488226,-0.8890853000000001
,2,1,1328,,,,,,,
,3,1,1328,,,,,,,
,4,1,1328,,,,,,,
,5,1,1328,,,,,,,
,6,1,1328,,,,,,,
,7,1,1328,,,,,,,
,8,1,1328,,,,,,,
,9,1,1328,,,,,,,
,10,1,1328,,,,,,,
,11,1,1328,,,,,,,
,12,1,1328,,,,,,,
,13,1,1328,,,,,,,
,14,1,1328,,,,,,,
,15,1,1328,,,,,,,
,16,1,1328,,,,,,,
,17,1,1328,,,,,,,
,18,1,1328,,,,,,,
,19,1,1328,,,,,,,
,20,1,1328,,,,,,,
,21,1,1328,,,,,,,
,22,1,1328,,,,,,,
,23,1,1328,Cesarauguste,Zaragoza,,,3104324,41.6488226,-0.8890853000000001
,24,1,1328,Cesarauguste,Zaragoza,,,3104324,41.6488226,-0.8890853000000001
,25,1,1328,,,,,,,
,26,1,1328,,,,,,,
,27,1,1328,,,,,,,
,28,1,1328,,,,,,,
,29,1,1328,,,,,,,
,30,1,1328,,,,,,,
,31,1,1328,,,,,,,
,1,2,1328,,,,,,,
,2,2,1328,,,,,,,
,3,2,1328,,,,,,,
,4,2,1328,,,,,,,
,5,2,1328,,,,,,,
,6,2,1328,,,,,,,
,7,2,1328,,,,,,,
,8,2,1328,,,,,,,
,9,2,1328,,,,,,,
,10,2,1328,,,,,,,
,11,2,1328,,,,,,,
,12,2,1328,,,,,,,
,13,2,1328,,,,,,,
,14,2,1328,,,,,,,
,15,2,1328,,,,,,,
,16,2,1328,,,,,,,
,17,2,1328,,,,,,,
,18,2,1328,,,,,,,
,19,2,1328,,,,,,,
,20,2,1328,,,,,,,
,21,2,1328,,,,,,,
,22,2,1328,,,,,,,
,23,2,1328,,,,,,,
,24,2,1328,,,,,,,
,25,2,1328,,,,,,,
,26,2,1328,,,,,,,
,27,2,1328,,,,,,,
,28,2,1328,,,,,,,
,1,3,1328,,,,,,,
,2,3,1328,,,,,,,
,3,3,1328,,,,,,,
,4,3,1328,,,,,,,
,5,3,1328,,,,,,,
,6,3,1328,,,,,,,
,7,3,1328,,,,,,,
,8,3,1328,,,,,,,
,9,3,1328,,,,,,,
,10,3,1328,,,,,,,
,11,3,1328,,,,,,,
,12,3,1328,,,,,,,
,13,3,1328,,,,,,,
,14,3,1328,,,,,,,
,15,3,1328,,,,,,,
,16,3,1328,,,,,,,
,17,3,1328,,,,,,,
,18,3,1328,,,,,,,
,19,3,1328,,,,,,,
,20,3,1328,,,,,,,
,21,3,1328,,,,,,,
,22,3,1328,Cesarauguste,Zaragoza,,,3104324,41.6488226,-0.8890853000000001
,23,3,1328,,,,,,,
,24,3,1328,,,,,,,
,25,3,1328,,,,,,,
,26,3,1328,,,,,,,
,27,3,1328,,,,,,,
,28,3,1328,,,,,,,
,29,3,1328,,,,,,,
,30,3,1328,,,,,,,
,31,3,1328,,,,,,,
,1,4,1328,,,,,,,
,2,4,1328,,,,,,,
,3,4,1328,,,,,,,
,4,4,1328,,,,,,,
,5,4,1328,,,,,,,
,6,4,1328,Cesarauguste,Zaragoza,,,3104324,41.6488226,-0.8890853000000001
,7,4,1328,,,,,,,
,8,4,1328,,,,,,,
,9,4,1328,,,,,,,
,10,4,1328,,,,,,,
,11,4,1328,,,,,,,
,12,4,1328,,,,,,,
,13,4,1328,,,,,,,
,14,4,1328,,,,,,,
,15,4,1328,,,,,,,
,16,4,1328,,,,,,,
,17,4,1328,,,,,,,
,18,4,1328,,,,,,,
,19,4,1328,,,,,,,
,20,4,1328,,,,,,,
,21,4,1328,eclesia Santi Salvatoris ciuitatis Cesarauguste,Catedral del Salvador de Zaragoza,,,6452803,41.6546437,-0.8756248999999999
,22,4,1328,,,,,,,
,23,4,1328,,,,,,,
,24,4,1328,,,,,,,
,25,4,1328,,,,,,,
,26,4,1328,,,,,,,
,27,4,1328,,,,,,,
,28,4,1328,,,,,,,
,29,4,1328,,,,,,,
,30,4,1328,,,,,,,
,1,5,1328,,,,,,,
,2,5,1328,,,,,,,
,3,5,1328,,,,,,,
,4,5,1328,,,,,,,
,5,5,1328,,,,,,,
,6,5,1328,,,,,,,
,7,5,1328,,,,,,,
,8,5,1328,,,,,,,
,9,5,1328,,,,,,,
,10,5,1328,,,,,,,
,11,5,1328,,,,,,,
,12,5,1328,,,,,,,
,13,5,1328,,,,,,,
,14,5,1328,,,,,,,
,15,5,1328,Cesarauguste,Zaragoza,,,3104324,41.6488226,-0.8890853000000001
,16,5,1328,,,,,,,
,17,5,1328,,,,,,,
,18,5,1328,Cesarauguste,Zaragoza,,,3104324,41.6488226,-0.8890853000000001
,19,5,1328,,,,,,,
,20,5,1328,,,,,,,
