FID,modern_name,day,month,year,Date_Notes,latitude,longitude,County,notes,Sources,Sou,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,Count,BekyntonMY,BekyntonYM,BekYMD
0,Ambresbury,19,1,1452,,51.174957,-1.779109,Wiltshire,,"The oath of canonical obedience was taken on his behalf by Master Thomas Merssh, his proctor (Merssh was present?)",Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,1/1452,1452/1,1452/1/19
1,Athelney,27,12,1444,,51.047541,-2.942898,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,12/1444,1444/12,1444/12/27
2,Athelney Monastery,27,9,1444,,51.0593,-2.93458,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1444,1444/9,1444/9/27
3,Athelney Monastery,28,9,1444,,51.0593,-2.93458,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,Master Thomas Boleyn,Warden of the college of Meydynstone in Kent,John Austil,Esquire,Roger Vagham,Esquire,,,1,9/1444,1444/9,1444/9/28
4,Athelney Monastery,18,7,1455,,51.0593,-2.93458,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,7/1455,1455/7,1455/7/18
5,Bagshot,5,8,1445,,51.358792,-0.694437,Surrey,in the diocese of Winchester in the inn marked with the sign of the Crown,p. 43 relook to see if more people present,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,8/1445,1445/8,1445/8/5
6,Bagshot,18,2,1452,,51.358792,-0.694437,Surrey,in Winchester diocese,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,2/1452,1452/2,1452/2/18
7,Banwell,24,9,1445,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1445,1445/9,1445/9/24
8,Banwell,28,9,1445,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1445,1445/9,1445/9/28
9,Banwell,28,9,1445,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1445,1445/9,1445/9/28
10,Banwell,5,5,1446,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,5/1446,1446/5,1446/5/5
11,Banwell,8,5,1446,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,5/1446,1446/5,1446/5/8
12,Banwell,9,5,1446,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,5/1446,1446/5,1446/5/9
13,Banwell,20,5,1446,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,5/1446,1446/5,1446/5/20
14,Banwell,3,10,1446,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1446,1446/10,1446/10/3
15,Banwell,8,10,1446,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1446,1446/10,1446/10/8
16,Banwell,11,1,1447,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,1/1447,1447/1,1447/1/11
17,Banwell,16,8,1447,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,8/1447,1447/8,1447/8/16
18,Banwell,4,9,1447,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1447,1447/9,1447/9/4
19,Banwell,6,9,1447,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1447,1447/9,1447/9/6
20,Banwell,9,9,1447,,51.326813,-2.876855,Somerset,,,,,,,,,,,,,,,0,9/1447,1447/9,1447/9/9
21,Banwell,23,9,1447,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1447,1447/9,1447/9/23
22,Banwell,5,10,1447,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1447,1447/10,1447/10/5
23,Banwell,14,10,1447,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1447,1447/10,1447/10/14
24,Banwell,26,10,1447,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1447,1447/10,1447/10/26
25,Banwell,26,10,1447,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1447,1447/10,1447/10/26
26,Banwell,30,10,1447,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,John Touker,notary-public,,,,,,,1,10/1447,1447/10,1447/10/30
27,Banwell,9,11,1447,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,11/1447,1447/11,1447/11/9
28,Banwell,25,12,1447,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,12/1447,1447/12,1447/12/25
29,Banwell,10,1,1448,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,1/1448,1448/1,1448/1/10
30,Banwell,20,1,1448,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,1/1448,1448/1,1448/1/20
31,Banwell,21,1,1448,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,John Touker,notary-public,,,,,William North,,1,1/1448,1448/1,1448/1/21
32,Banwell,3,4,1448,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,4/1448,1448/4,1448/4/3
33,Banwell,29,8,1448,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,8/1448,1448/8,1448/8/29
34,Banwell,31,8,1448,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,Sir Thomas Combe,"Rector of Berwyk St. Leonard, in the diocese of Salisbury",,,,,,,1,8/1448,1448/8,1448/8/31
35,Banwell,6,9,1448,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1448,1448/9,1448/9/6
36,Banwell,25,9,1448,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,John Sydenham the elder,Esquire,John Newton,Esquire,John Austil,Esquire,,,1,9/1448,1448/9,1448/9/25
37,Banwell,27,9,1448,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1448,1448/9,1448/9/27
38,Banwell,7,10,1448,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1448,1448/10,1448/10/7
39,Banwell,27,8,1449,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,8/1449,1449/8,1449/8/27
40,Banwell,29,8,1449,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,Jon Touker,,1,8/1449,1449/8,1449/8/29
41,Banwell,31,8,1449,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,8/1449,1449/8,1449/8/31
42,Banwell,3,11,1449,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,11/1449,1449/11,1449/11/3
43,Banwell,14,4,1450,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,4/1450,1450/4,1450/4/14
44,Banwell,4,6,1450,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,6/1450,1450/6,1450/6/4
45,Banwell,16,6,1450,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,6/1450,1450/6,1450/6/16
46,Banwell,27,9,1450,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,notary-public,1,9/1450,1450/9,1450/9/27
47,Banwell,8,5,1451,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,5/1451,1451/5,1451/5/8
48,Banwell,27,12,1451,,51.326813,-2.876855,Somerset,(Spelling on all Banewell or Banwell?),,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,12/1451,1451/12,1451/12/27
49,Banwell,31,12,1451,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,12/1451,1451/12,1451/12/31
50,Banwell,2,1,1452,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,Ambresbury banks? Historic? Not in Gazetteer,,,,,,,,,1,1/1452,1452/1,1452/1/2
51,Banwell,3,1,1452,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,1/1452,1452/1,1452/1/3
52,Banwell,14,5,1452,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,5/1452,1452/5,1452/5/14
53,Banwell,17,5,1452,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,5/1452,1452/5,1452/5/17
54,Banwell,7,9,1452,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,Richard Erle,,John Compayne,,William Langton,notary-public,,,1,9/1452,1452/9,1452/9/7
55,Banwell,17,9,1452,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1452,1452/9,1452/9/17
56,Banwell,24,9,1452,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1452,1452/9,1452/9/24
57,Banwell,1,10,1452,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1452,1452/10,1452/10/1
58,Banwell,4,10,1452,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1452,1452/10,1452/10/4
59,Banwell,6,10,1452,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1452,1452/10,1452/10/6
60,Banwell,21,12,1452,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,John Wysdom,Literate,John Dancastre,Literate,John Touker,notary-public,John Touker,,1,12/1452,1452/12,1452/12/21
61,Banwell,23,12,1452,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,12/1452,1452/12,1452/12/23
62,Banwell,1,1,1453,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,1/1453,1453/1,1453/1/1
63,Banwell,1,1,1453,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,notary-public,1,1/1453,1453/1,1453/1/1
64,Banwell,11,1,1453,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,John Bosvile,,Thomas Westley,,William Langton,notary-public,,,1,1/1453,1453/1,1453/1/11
65,Banwell,20,1,1453,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,1/1453,1453/1,1453/1/20
66,Banwell,7,8,1453,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,8/1453,1453/8,1453/8/7
67,Banwell,12,8,1453,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,8/1453,1453/8,1453/8/12
68,Banwell,26,8,1453,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,8/1453,1453/8,1453/8/26
69,Banwell,30,8,1453,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,8/1453,1453/8,1453/8/30
70,Banwell,22,12,1453,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,12/1453,1453/12,1453/12/22
71,Banwell,27,12,1453,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,12/1453,1453/12,1453/12/27
72,Banwell,2,1,1454,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,Master Robert Stillyngton,doctor of laws and clerk of the ioceses of York and Norwich,Thomas Brightyeve,clerk of the ioceses of York and Norwich,,,,,1,1/1454,1454/1,1454/1/2
73,Banwell,11,1,1454,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,1/1454,1454/1,1454/1/11
74,Banwell,13,1,1454,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,1/1454,1454/1,1454/1/13
75,Banwell,26,1,1454,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,1/1454,1454/1,1454/1/26
76,Banwell,27,1,1454,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,1/1454,1454/1,1454/1/27
77,Banwell,29,4,1455,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,notary-public,1,4/1455,1455/4,1455/4/29
78,Banwell,10,5,1455,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,Thomas Est,Clerk,John Compayn,Clerk,,,,,1,5/1455,1455/5,1455/5/10
79,Banwell,24,5,1455,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,5/1455,1455/5,1455/5/24
80,Banwell,3,6,1455,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,6/1455,1455/6,1455/6/3
81,Banwell,14,6,1455,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,6/1455,1455/6,1455/6/14
82,Banwell,17,6,1455,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,6/1455,1455/6,1455/6/17
83,Banwell,8,1,1456,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,1/1456,1456/1,1456/1/8
84,Banwell,11,1,1456,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,1/1456,1456/1,1456/1/11
85,Banwell,24,1,1456,,51.326813,-2.876855,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,1/1456,1456/1,1456/1/24
