modern_name,Date,FirstSlash,SecondSlash,day,month,year,Corrected,latitude,longitude,County,Notes or reference #,
Hartlebury,1/1/1346,2,4,1,1,1346,1346/1/1,52.327826,-2.2508729,Worcestershire,,
Hartlebury,1/10/1340,2,5,1,10,1340,1340/10/1,52.327826,-2.2508729,Worcestershire,,
Withington,1/10/1342,2,5,1,10,1342,1342/10/1,51.833604,-1.9578672,Gloucestershire,,
Withington,1/10/1343,2,5,1,10,1343,1343/10/1,51.833604,-1.9578672,Gloucestershire,,
Hartlebury,1/11/1344,2,5,1,11,1344,1344/11/1,52.327826,-2.2508729,Worcestershire,,
Hampton Bishop,1/2/1343,2,4,1,2,1343,1343/2/1,52.038564,-2.6574537,Herefordshire,,
Stonehouse Deanery,1/3/1340,2,4,1,3,1340,1340/3/1,51.74334,-2.2910695,Gloucestershire,several places,
Hartlebury,1/4/1340,2,4,1,4,1340,1340/4/1,52.327826,-2.2508729,Worcestershire,,
Hartlebury,1/4/1344,2,4,1,4,1344,1344/4/1,52.327826,-2.2508729,Worcestershire,,
Hartlebury,1/4/1345,2,4,1,4,1345,1345/4/1,52.327826,-2.2508729,Worcestershire,,
Hartlebury,1/4/1346,2,4,1,4,1346,1346/4/1,52.327826,-2.2508729,Worcestershire,,
Hartlebury,1/4/1349,2,4,1,4,1349,1349/4/1,52.327826,-2.2508729,Worcestershire,,
Hartlebury,1/5/1339,2,4,1,5,1339,1339/5/1,52.327826,-2.2508729,Worcestershire,,
Hartlebury,1/5/1343,2,4,1,5,1343,1343/5/1,52.327826,-2.2508729,Worcestershire,,
Hartlebury,1/5/1344,2,4,1,5,1344,1344/5/1,52.327826,-2.2508729,Worcestershire,,
Hartlebury,1/5/1349,2,4,1,5,1349,1349/5/1,52.327826,-2.2508729,Worcestershire,,
Bredon,1/6/1339,2,4,1,6,1339,1339/6/1,52.022359,-2.1179982,Worcestershire,"194, 1120",
Hawkesbury and Bitton Deanery,1/6/1340,2,4,1,6,1340,1340/6/1,51.419103,-2.4615729,Gloucestershire,,
Hartlebury,1/6/1349,2,4,1,6,1349,1349/6/1,52.327826,-2.2508729,Worcestershire,,
Bredon,1/7/1339,2,4,1,7,1339,1339/7/1,52.022359,-2.1179982,Worcestershire,,
Henbury,1/7/1340,2,4,1,7,1340,1340/7/1,51.499215,-2.6352549,Gloucestershire,133; Henbury implied not explicit,
Withington,1/7/1340,2,4,1,7,1340,1340/7/1,51.833604,-1.9578672,Gloucestershire,138,
Hartlebury,1/7/1349,2,4,1,7,1349,1349/7/1,52.327826,-2.2508729,Worcestershire,,
Alcester,1/8/1339,2,4,1,8,1339,1339/8/1,52.417951,-1.8985023,Worcestershire,,
Withington,1/8/1341,2,4,1,8,1341,1341/8/1,51.833604,-1.9578672,Gloucestershire,,
Bristol,1/8/1345,2,4,1,8,1345,1345/8/1,51.47254,-2.5772934,Gloucestershire,,
Hartlebury,1/8/1349,2,4,1,8,1349,1349/8/1,52.327826,-2.2508729,Worcestershire,,
Henbury,1/8/1434,2,4,1,8,1434,1434/8/1,51.499215,-2.6352549,Gloucestershire,,
Hartlebury,1/9/1340,2,4,1,9,1340,1340/9/1,52.327826,-2.2508729,Worcestershire,139,
Hartlebury,10/1/1343,3,5,10,1,1343,1343/1/10,52.327826,-2.2508729,Worcestershire,,
Westminster,10/1/1348,3,5,10,1,1348,1348/1/10,51.495233,-0.1431191,Middlesex,,
Hartlebury,10/1/1349,3,5,10,1,1349,1349/1/10,52.327826,-2.2508729,Worcestershire,,
Withington,10/10/1343,3,6,10,10,1343,1343/10/10,51.833604,-1.9578672,Gloucestershire,,
Avignon,10/10/1344,3,6,10,10,1344,1344/10/10,43.949317,4.805528,,,
Hampton,10/11/1339,3,6,10,11,1339,1339/11/10,52.08535,-1.9722259,Worcestershire,,
Hampton Bishop,10/11/1339,3,6,10,11,1339,1339/11/10,52.038564,-2.6574537,Herefordshire,,
Hartlebury,10/11/345,3,6,10,11,/345,/345/11/10,52.327826,-2.2508729,Worcestershire,,
Hartlebury,10/12/1343,3,6,10,12,1343,1343/12/10,52.327826,-2.2508729,Worcestershire,,
