modern_name,Date,First_slas,Second_sla,month,day,year,Date2,Latitude,Latitude2,longitude,latitude,County,Notes,Source,YM,MY,Count,GrandT
Alverton,11/7/1336,3,5,7,11,1336,1336/7/11,0,50.118482,-5.548953,50.118482, , , ,1336/7,7/1336,1,7/11/1336
Alverton,14/7/1336,3,5,7,14,1336,1336/7/14,0,50.118482,-5.548953,50.118482, , , ,1336/7,7/1336,1,7/14/1336
Asperton,27/6/1331,3,5,6,27,1331,1331/6/27,0,52.07,-2.52,52.07,Herefordshire, , ,1331/6,6/1331,1,6/27/1331
Asperton,29/6/1331,3,5,6,29,1331,1331/6/29,0,52.07,-2.52,52.07,Herefordshire, , ,1331/6,6/1331,1,6/29/1331
Asperton,30/6/1331,3,5,6,30,1331,1331/6/30,0,52.07,-2.52,52.07,Herefordshire, , ,1331/6,6/1331,1,6/30/1331
Avignon France,26/9/1326,3,5,9,26,1326,1326/9/26,0,43.949317,4.805528,43.949317, , ,"Catholic Church, James de Berkeley, F. C. Hingeston, F. J. B. Winchester, and John Grandison. 1894. The register of John de Grandisson, bishop of Exeter, (A.D. 1327-1369). London: G. Bell & Sons.",1326/9,9/1326,1,9/26/1326
Avignon France,18/10/1327,3,6,10,18,1327,1327/10/18,0,43.949317,4.805528,43.949317, ,Stayed until 23/12/1327, ,1327/10,10/1327,1,10/18/1327
Avignon France, ,0,0,10,19,1327,1327/10/19,0,43.949317,4.805528,43.949317, , , ,1327/10,10/1327,1,10/19/1327
Avignon France, ,0,0,10,20,1327,1327/10/20,0,43.949317,4.805528,43.949317, , , ,1327/10,10/1327,1,10/20/1327
Avignon France, ,0,0,10,21,1327,1327/10/21,0,43.949317,4.805528,43.949317, , , ,1327/10,10/1327,1,10/21/1327
Avignon France, ,0,0,10,22,1327,1327/10/22,0,43.949317,4.805528,43.949317, , , ,1327/10,10/1327,1,10/22/1327
Avignon France, ,0,0,10,23,1327,1327/10/23,0,43.949317,4.805528,43.949317, , , ,1327/10,10/1327,1,10/23/1327
Avignon France, ,0,0,10,24,1327,1327/10/24,0,43.949317,4.805528,43.949317, , , ,1327/10,10/1327,1,10/24/1327
Avignon France, ,0,0,10,25,1327,1327/10/25,0,43.949317,4.805528,43.949317, , , ,1327/10,10/1327,1,10/25/1327
Avignon France, ,0,0,10,26,1327,1327/10/26,0,43.949317,4.805528,43.949317, , , ,1327/10,10/1327,1,10/26/1327
Avignon France, ,0,0,10,27,1327,1327/10/27,0,43.949317,4.805528,43.949317, , , ,1327/10,10/1327,1,10/27/1327
Avignon France, ,0,0,10,28,1327,1327/10/28,0,43.949317,4.805528,43.949317, , , ,1327/10,10/1327,1,10/28/1327
Avignon France, ,0,0,10,29,1327,1327/10/29,0,43.949317,4.805528,43.949317, , , ,1327/10,10/1327,1,10/29/1327
Avignon France, ,0,0,10,30,1327,1327/10/30,0,43.949317,4.805528,43.949317, , , ,1327/10,10/1327,1,10/30/1327
Avignon France, ,0,0,10,31,1327,1327/10/31,0,43.949317,4.805528,43.949317, , , ,1327/10,10/1327,1,10/31/1327
Avignon France, ,0,0,11,1,1327,1327/11/1,0,43.949317,4.805528,43.949317, , , ,1327/11,11/1327,1,11/1/1327
Avignon France, ,0,0,11,2,1327,1327/11/2,0,43.949317,4.805528,43.949317, , , ,1327/11,11/1327,1,11/2/1327
Avignon France, ,0,0,11,3,1327,1327/11/3,0,43.949317,4.805528,43.949317, , , ,1327/11,11/1327,1,11/3/1327
Avignon France, ,0,0,11,4,1327,1327/11/4,0,43.949317,4.805528,43.949317, , , ,1327/11,11/1327,1,11/4/1327
Avignon France, ,0,0,11,5,1327,1327/11/5,0,43.949317,4.805528,43.949317, , , ,1327/11,11/1327,1,11/5/1327
Avignon France, ,0,0,11,6,1327,1327/11/6,0,43.949317,4.805528,43.949317, , , ,1327/11,11/1327,1,11/6/1327
Avignon France, ,0,0,11,7,1327,1327/11/7,0,43.949317,4.805528,43.949317, , , ,1327/11,11/1327,1,11/7/1327
Avignon France, ,0,0,11,8,1327,1327/11/8,0,43.949317,4.805528,43.949317, , , ,1327/11,11/1327,1,11/8/1327
Avignon France, ,0,0,11,9,1327,1327/11/9,0,43.949317,4.805528,43.949317, , , ,1327/11,11/1327,1,11/9/1327
Avignon France, ,0,0,11,10,1327,1327/11/10,0,43.949317,4.805528,43.949317, , , ,1327/11,11/1327,1,11/10/1327
Avignon France, ,0,0,11,11,1327,1327/11/11,0,43.949317,4.805528,43.949317, , , ,1327/11,11/1327,1,11/11/1327
Avignon France, ,0,0,11,12,1327,1327/11/12,0,43.949317,4.805528,43.949317, , , ,1327/11,11/1327,1,11/12/1327
Avignon France, ,0,0,11,13,1327,1327/11/13,0,43.949317,4.805528,43.949317, , , ,1327/11,11/1327,1,11/13/1327
Avignon France, ,0,0,11,14,1327,1327/11/14,0,43.949317,4.805528,43.949317, , , ,1327/11,11/1327,1,11/14/1327
Avignon France, ,0,0,11,15,1327,1327/11/15,0,43.949317,4.805528,43.949317, , , ,1327/11,11/1327,1,11/15/1327
Avignon France, ,0,0,11,16,1327,1327/11/16,0,43.949317,4.805528,43.949317, , , ,1327/11,11/1327,1,11/16/1327
Avignon France, ,0,0,11,17,1327,1327/11/17,0,43.949317,4.805528,43.949317, , , ,1327/11,11/1327,1,11/17/1327
Avignon France, ,0,0,11,18,1327,1327/11/18,0,43.949317,4.805528,43.949317, , , ,1327/11,11/1327,1,11/18/1327
Avignon France, ,0,0,11,19,1327,1327/11/19,0,43.949317,4.805528,43.949317, , , ,1327/11,11/1327,1,11/19/1327
Avignon France, ,0,0,11,20,1327,1327/11/20,0,43.949317,4.805528,43.949317, , , ,1327/11,11/1327,1,11/20/1327
Avignon France, ,0,0,11,21,1327,1327/11/21,0,43.949317,4.805528,43.949317, , , ,1327/11,11/1327,1,11/21/1327
Avignon France, ,0,0,11,22,1327,1327/11/22,0,43.949317,4.805528,43.949317, , , ,1327/11,11/1327,1,11/22/1327
Avignon France, ,0,0,11,23,1327,1327/11/23,0,43.949317,4.805528,43.949317, , , ,1327/11,11/1327,1,11/23/1327
Avignon France, ,0,0,11,24,1327,1327/11/24,0,43.949317,4.805528,43.949317, , , ,1327/11,11/1327,1,11/24/1327
Avignon France, ,0,0,11,25,1327,1327/11/25,0,43.949317,4.805528,43.949317, , , ,1327/11,11/1327,1,11/25/1327
Avignon France, ,0,0,11,26,1327,1327/11/26,0,43.949317,4.805528,43.949317, , , ,1327/11,11/1327,1,11/26/1327
Avignon France, ,0,0,11,27,1327,1327/11/27,0,43.949317,4.805528,43.949317, , , ,1327/11,11/1327,1,11/27/1327
Avignon France, ,0,0,11,28,1327,1327/11/28,0,43.949317,4.805528,43.949317, , , ,1327/11,11/1327,1,11/28/1327
Avignon France, ,0,0,11,29,1327,1327/11/29,0,43.949317,4.805528,43.949317, , , ,1327/11,11/1327,1,11/29/1327
Avignon France, ,0,0,11,30,1327,1327/11/30,0,43.949317,4.805528,43.949317, , , ,1327/11,11/1327,1,11/30/1327
Avignon France, ,0,0,12,1,1327,1327/12/1,0,43.949317,4.805528,43.949317, , , ,1327/12,12/1327,1,12/1/1327
Avignon France, ,0,0,12,2,1327,1327/12/2,0,43.949317,4.805528,43.949317, , , ,1327/12,12/1327,1,12/2/1327
Avignon France, ,0,0,12,3,1327,1327/12/3,0,43.949317,4.805528,43.949317, , , ,1327/12,12/1327,1,12/3/1327
Avignon France, ,0,0,12,4,1327,1327/12/4,0,43.949317,4.805528,43.949317, , , ,1327/12,12/1327,1,12/4/1327
