modern_name,Other Possible Names,Latin Name,geo_id,Modern Country,latitude,longitude,Checked,Certainty,Notes,name_match,geo_dist,geon_addition,guess1,geoid_guess1,g_dist1,itin_list
Acequia de la Violada,Vialada,,3118666,Spain,42.007714,-0.706534,y,3,An area of irrigation that gets mentioned - apparently - in the itinerary of Joan I but there is no specific location or proof.,Canal de Riego de La Violada,7.56,,,,,CA_JIP
Acered,,,12041364,Spain,41.1711374,-1.6038527,y,5,,Acered,0.03946,,,,,CA_PIVP
Aci Castello,,,2525792,Italy,37.5557219,15.1444802,y,5,,Aci Castello,0.07735,,,,,CA_MI
Àger,,,3130920,Spain,42.0007934,0.7610053000000001,y,5,,Àger,0.47726,,,,,CA_PIVP; CA_JII
Agramunt,,,3130911,Spain,41.7871869,1.0979794,y,5,,Agramunt,0.10245,,,,,CA_JIR
Ágreda,,,3130909,Spain,41.856465299999996,-1.9221380000000001,y,5,,Ágreda,0.0694,,,,,CA_JII
Aguarón,,,3130889,Spain,41.3384607,-1.2704491000000002,y,5,,Aguarón,0.0613,,,,,CA_JIP; CA_PIVP
Aidone,,,2525761,Italy,37.4159153,14.445496499999999,y,5,,Aidone,0.13779,,,,,CA_MI
Aiguafreda,,Agualare,3129108,Spain,41.7662864,2.2526693,y,5,,Aiguafreda,0.26728,,,,,CA_JII
Aigues-Mortes,,,3038493,France,43.567172,4.1925869,y,5,,Aigues-Mortes,0.15828,,,,,CA_JII
Aínsa,,,3130772,Spain,42.4168415,0.1384645,y,5,,Aínsa,0.20174,,,,,CA_PIVP
Aitona,,,3129099,Spain,41.49349160000001,0.4590823000000001,y,5,,Aitona,1.29385,,,,,CA_JIR
Al-Ajub puerto,,,TL_0001,Spain,38.186081200000004,-0.5618227,y,4,"This is placed near the port of the town of Santa Pola, although is less specific than the town itself.",,,,Santa Pola,2511102.0,0.70928,CA_JII
Alagón,,,3130739,Spain,41.768916600000004,-1.1173153999999998,y,5,,Alagón,0.16575,,,,,CA_JIR; CA_JIP; CA_PIVP; CA_JII
Alana,,,TL_0002,Spain,40.745017299999994,-1.3641521,R,1,Between Daroca and Cellas in Aragon - possibly Alba but no supporting information,,,,,,,CA_JII
Alba del Campo,Selva del Campo; Alba del Campo,,3130716,Spain,40.6179896,-1.3457193,y,5,,Alba,0.07876,,,,,CA_JII
Albaida,Albayda,,2522253,Spain,38.840256,-0.519491,y,5,,Albaida,0.32068,,,,,CA_JII
Albalat de la Ribera,Albalat,,6361873,Spain,39.2213766,-0.3701276,y,5,,Albalat de la Ribera,0.45632,,,,,CA_JII
Albalat dels Tarongers,,,2522243,Spain,39.7032393,-0.33748290000000003,y,5,,Albalat dels Tarongers,0.50597,,,,,CA_MI
Albalat dels Sorells,,,2522244,Spain,39.5434721,-0.3460091,y,5,,Albalat dels Sorells,0.12415,,,,,CA_JIP
Albalate de Cinca,,,3130699,Spain,41.7225971,0.1477435,y,5,,Albalate de Cinca,0.48615,,,,,CA_PIVP; CA_JII
Albalate de Zorita,,,3130696,Spain,40.3084745,-2.8439975,y,5,,Albalate de Zorita,0.1194,,,,,CA_JII
Albalate del Arzobispo,Albalate,,3130698,Spain,41.1201244,-0.5127877000000001,y,5,,Albalate del Arzobispo,0.21178000000000002,,,,,CA_JIP; CA_JII
Albalatillo,,,3130695,Spain,41.736595200000004,-0.15154679999999998,y,5,,Albalatillo,0.15083,,,,,CA_JII
Albarracin,,,3130679,Spain,40.4075581,-1.443876,y,5,,Albarracín,0.07005,,,,,CA_JII
Albelda,,,3130673,Spain,41.8650547,0.46055680000000004,y,5,,Albelda,0.06241,,,,,CA_JIP
Albentosa,Arventosa; Alventosa; Alverosa; Almentose,,11903806,Spain,40.102393299999996,-0.7705142,y,5,"The alternate names here may be misspellings: ACA, C. r. 268, f. 246r.",Albentosa,0.24961,,,,,CA_JII
Alberuela de Laliena,Alberuela,,3130654,Spain,42.1639025,-0.0330906,y,5,,Alberuela de la Liena,0.15516,,,,,CA_JII
Albesa,,,3130652,Spain,41.752541,0.6595184000000001,y,5,,Albesa,0.0337,,,,,CA_PIVP
Albocasser,,,3130637,Spain,40.356701,0.025070500000000003,y,5,,Albocàsser,1.02293,,,,,CA_JII
Alcaine,,,3130623,Spain,40.9530708,-0.7048888000000001,y,5,,Alcaine,0.08797999999999999,,,,,CA_JII
Alcalá de la Selva,Alcala qui est monachorum; de la Selba,,3130615,Spain,40.37183870000001,-0.7192183000000001,y,5,,Alcalá de la Selva,0.07896,,,,,CA_PIVP
Alcalá de Xivert,,,3130619,Spain,40.3059644,0.2265823,y,5,,Alcalà de Xivert,0.8763700000000001,,,,,CA_JII
Alcanadre,,,3130610,Spain,42.404996000000004,-2.1217041,y,5,,Alcanadre,0.08062000000000001,,,,,CA_JII
Alcañiz,,,3130606,Spain,41.051035299999995,-0.13353729999999994,y,5,,Alcañiz,0.11625,,,,,CA_JIP; CA_PIVP; CA_JII
Alcarrás,,,3130598,Spain,41.5632511,0.5244194000000001,y,5,,Alcarràs,0.74973,,,,,CA_JIP; CA_JII
Alcolea de Cinca,,,3130576,Spain,41.7213895,0.1149925,y,5,,Alcolea de Cinca,0.28175,,,,,CA_JIR; CA_JIP; CA_PIVP; CA_JII
Alcorisa,,,3130563,Spain,40.8930228,-0.3824868,y,5,,Alcorisa,0.1353,,,,,CA_PIVP; CA_JII
Alcover,,,3130557,Spain,41.262476,1.1709847,y,5,,Alcover,0.07696,,,,,CA_MI
Alcoy,,,2522098,Spain,38.6987066,-0.4810937,y,5,,Alcoy,0.43012,,,,,CA_JII
Aldehuela de Liestos,,,3130455,Spain,41.0640787,-1.6997629,y,5,,Aldehuela de Liestos,0.10997,,,,,CA_PIVP
Alfajarín,,,3130409,Spain,41.6127526,-0.7045920999999999,y,5,,Alfajarín,0.15745,,,,,CA_JIP
Alfambra,,,3130408,Spain,40.547523999999996,-1.0334809999999999,y,5,,Alfambra,0.13051,,,,,CA_JII
Alfara de Carles,Alfara,,3130401,Spain,40.8736905,0.4004439,y,5,,Alfara de Carles,0.023540000000000002,,,,,CA_JII
Alfarràs,,,6358773,Spain,41.8301028,0.5695226999999999,y,5,,Alfarràs,0.34279,,,,,CA_JIP
Alfic,,,TL_0003,Italy,44.00615670000001,8.1839356,R,1,"This is somewhere between Olius and Civitaveccia which is entirely unhelpful.  Alassia used to be Alaxio or Alascio, so perhaps this is a Catalan spelling of the name; without evidence.",,,,Alassio,3183366.0,1.37009,CA_JII
Alforja,,,3130395,Spain,41.21054,0.9753601000000001,y,5,,Alforja,0.05975,,,,,CA_MI; CA_JII
Algerri,,,3130385,Spain,41.8148326,0.6381854,y,5,,Algerri,0.15434,,,,,CA_JIP
Alghero,,,3183284,Italy,40.557951700000004,8.319294900000001,y,5,,Alghero,0.19405,,,,,CA_MI
Alguaire,,,3130379,Spain,41.73662520000001,0.5836318,y,5,,Alguaire,0.08505,,,,,CA_JIP; CA_PIVP; CA_JII
Aliaga,,,3130372,Spain,40.672520399999996,-0.702812,y,5,,Aliaga,0.18157,,,,,CA_PIVP; CA_JII
Alicante,,,2521978,Spain,38.345996299999996,-0.49068549999999994,y,5,,Alicante,0.80914,,,,,CA_JII
Aljafería de Zaragoza,,,6619266,Spain,41.6564549,-0.8971131999999999,y,6,,Palacio de La Aljafería,0.01896,,,,,CA_MI; CA_JIR; CA_JIP; CA_PIVP
Allepuz,,,3130347,Spain,40.4920018,-0.7253668000000001,y,5,,Allepuz,0.1168,,,,,CA_JII
Almacelles,,,3130331,Spain,41.7286912,0.44198279999999995,y,5,,Almacelles,0.55225,,,,,CA_JIP; CA_JIR; CA_PIVP; CA_JII
Almassora,,,2521909,Spain,39.9478425,-0.0629989,y,5,,Almassora,0.06236000000000001,,,,,CA_MI; CA_JIP
Almenar,,,3130306,Spain,41.7970523,0.5680948,y,5,,Almenar,0.11472,,,,,CA_JIP; CA_PIVP; CA_JII
Almenara,,,2521899,Spain,39.753448999999996,-0.22329369999999998,R,5,This is in Valencia according to Jaume II itinerary - too far from Zaragoza - the text says there's another almenara in Zaragoza but I can't find it.,Almenara,0.68499,,,,,CA_MI; CA_JIR; CA_JIP; CA_JII
Almonacid de La Cuba,Castillo de La Cuba,,3130287,Spain,41.2809656,-0.7922148,y,5,,Almonacid de la Cuba,0.04983,,,,,CA_JII
Almonacid de la Sierra,,,3130285,Spain,41.397564,-1.3233676,y,5,,Almonacid de la Sierra,0.03822,,,,,CA_JII
Almoradí,,,2521855,Spain,38.1107088,-0.7937015000000001,y,5,,Almoradí,0.26214,,,,,CA_JII
