modern_name,modern_country,checked,certainty,latitude,longitude,itin_code,County,Notes,name_match,geo_dist,geo_id,guess1,g_dist1,geo_id_guess1,guess2,g_dist2,geo_id_guess2
Alverton,,,,50.118482,-5.548953,EE_JGEx, , ,,,GNA***,Penzance,0.8441,2640377.0,West Cornwall Hospital,0.54975,6288595.0
Asperton,,,,52.07,-2.52,EE_JGEx,Herefordshire, ,Ashperton,0.30784,2656928.0,,,,,,
Avignon France,France,,,43.949317,4.805528,EE_JGEx, , ,,,,Avignon,0.29333,3035681.0,Hotel de I'Horloge,0.04639,6471174.0
Axminster,,,,50.777215000000005,-3.008367,EE_JGEx,Devon, ,Axminster,0.95173,2656725.0,,,,,,
Bampton,,,,51.724869,-1.5525959999999999,EE_JGEx,Oxfordshire, ,Bampton,0.51894,2656421.0,,,,,,
Banbury,,,,52.056563,-1.345107,EE_JGEx,Oxfordshire, ,Banbury,0.76457,2656406.0,,,,,,
Beaumont-sur-Oise France,France,,,49.141551,2.284601,EE_JGEx, , ,Beaumont-sur-Oise,0.19785,3034141.0,,,,,,
Bermondsey,,,,51.494307,-0.08553200000000001,EE_JGEx,Surrey,,,,,Chaucer,0.54549,12048096.0,Hotel The Bermondsey Square,0.45869,10243043.0
Bideford,,,,51.012166,-4.225192,EE_JGEx,Devon, ,,,,Handy Cross,0.37038,9538975.0,Durrant House Hotel,0.22521,10296285.0
Bishop's Clyst,,,,50.709453,-3.4538300000000004,EE_JGEx, ,,,,,Clyst St Mary,0.32578,2652717.0,Bishops Court,0.84684,2655569.0
Bishop's Tawton,,,,51.051244,-4.055843,EE_JGEx,Devon,,Bishops Tawton,0.43246,2655559.0,,,,,,
Bishopsnympton,,,,50.999503999999995,-3.771378,EE_JGEx, , ,Bishops Nympton,0.3353,2655563.0,,,,,,
Blackawton,,,,50.337666,-3.687596,EE_JGEx,Devon, ,Blackawton,1.19057,2655528.0,,,,,,
Blyth,,,,55.126957,-1.510277,EE_JGEx,Yorkshire, ,Blyth,0.11035,2655315.0,,,,,,
Bodmin Priory,,,,50.470646,-4.735214,EE_JGEx,Cornwall, ,,,,Bodmin,0.78089,2655273.0,Bodmin General Railway Station,1.43867,6955263.0
Bosham,,,,50.830018,-0.8654370000000001,EE_JGEx,Sussex, ,Bosham,0.82238,2655143.0,,,,,,
Bradenstoke,,,,51.509928,-2.0013919999999996,EE_JGEx,Wiltshire, ,,,,Clack,1.67101,2652977.0,Lyneham Clack Mount,0.36096,6286314.0
Bradninch,,,,50.817709,-3.435115,EE_JGEx,Devon, ,,,,Hele,0.17091,2647180.0,Bradninch Castle Hill,1.57996,6287400.0
Bristol,,,,51.47254,-2.577293,EE_JGEx,Gloucestershire, ,,,,Easton,1.2112,12047505.0,Montpelier Railway Station,0.91674,6953161.0
Buckfast Abbey,,,,50.489005999999996,-3.791667,EE_JGEx,Devon,,,,,Buckfastleigh,1.23399,2654416.0,Buckfast Abbey,1.20284,11549208.0
Buckland Abbey,,,,50.271952,-3.867707,EE_JGEx,Devon, ,,,,Thurlestone,0.46513,2635894.0,Thurlestone,1.02111,6290154.0
Buckland-Monachorum,,,,50.492036,-4.144257,EE_JGEx,Devon, ,Buckland Monachorum,1.01933,2654399.0,,,,,,
Canonsleigh Abbey,,,,50.941158,-3.3194480000000004,EE_JGEx, , ,,,,Burlescombe,0.17076,2654288.0,Tiverton Parkway Railway Station,3.92416,6953735.0
Canterbury,,,,51.27195,1.066565,EE_JGEx,Kent, ,,,,Thanington,0.74936,8063682.0,Canterbury East Railway Station,0.68312,6945273.0
Chardstock,,,,50.835796,-2.980691,EE_JGEx, , ,Chardstock,0.09409,2653344.0,,,,,,
Chateau Thierry France,France,,,49.045987,3.4026199999999998,EE_JGEx, , ,Château-Thierry,0.05197,3026194.0,,,,,,
Chidham,,,,50.821164,-0.879849,EE_JGEx,Sussex, ,,,,Itchenor,1.95663,2634383.0,Thorney Island,2.72657,11711624.0
Chudleigh,,,,50.599555,-3.612164,EE_JGEx,Devon, ,Chudleigh,1.03258,2653056.0,,,,,,
Clyst,,,,50.727636,-3.446529,EE_JGEx,Devon,,,,,Clyst Honiton,0.95695,2652720.0,Bishops Court,1.24463,2655569.0
Colcombe,,,,50.731625,-3.078235,EE_JGEx,Devon, ,,,,Colyford,0.9981,2652512.0,Colyford Station,1.46789,7671133.0
Combe-in-Teignhead,,,,50.528406,-3.5533,EE_JGEx,Devon, ,Stokeinteignhead,1.68328,2636848.0,,,,,,
Cornwood,,,,50.414139,-3.971825,EE_JGEx,Devon, ,Cornwood,0.77085,2652352.0,,,,,,
Cotyngbeke,,,,50.397,-4.309,EE_JGEx, ,used st. german's priory instead,,,,Saint Germans,0.4314,2638792.0,St Germans Railway Station,0.30082,6953478.0
Cowick Priory,,,,50.720828000000004,-3.5415620000000003,EE_JGEx,"Yorkshire, West Riding", ,,,,St. Thomas,0.52311,6691883.0,Buckrell Lodge,0.36297,10296293.0
Crediton,,,,50.787728,-3.6611910000000005,EE_JGEx,Devon, ,Crediton,0.92837,2652034.0,,,,,,
Diptford,,,,50.389913,-3.801997,EE_JGEx,Devon, ,,,,North Huish,0.96814,2641333.0,Langford Barton,2.12378,6285816.0
Dittisham,,,,50.374817,-3.604532,EE_JGEx,Devon, ,Dittisham,1.04075,2651206.0,,,,,,
Donyatt,,,,50.921551,-2.954575,EE_JGEx,Somerset, ,Donyatt,0.8803,2651111.0,,,,,,
Dover,,,,51.121687,1.299576,EE_JGEx,Kent, ,,,,Maxton,0.66739,11550761.0,Dover Priory Railway Station,0.59708,6945262.0
East Allington,,,,50.318858,-3.743119,EE_JGEx,Devon, ,,,,Woodleigh,1.06261,2633635.0,Buckland Tout Saints,1.9508,9258193.0
East Camel,,,,51.022,-2.6019,EE_JGEx,Somerset, ,West Camel,0.25222,6693235.0,,,,,,
East Horseley,,,,51.262114000000004,-0.43284399999999995,EE_JGEx, ,,East Horsley Village,0.1636,10377319.0,,,,,,
East Stoke,,,,53.033033999999994,-0.8830479999999999,EE_JGEx,Nottinghamshire, ,East Stoke,0.03842,2650333.0,,,,,,
Eaton-Bishop's,,,,52.03756,-2.817804,EE_JGEx,Herefordshire, ,Eaton Bishop,0.95893,2650296.0,,,,,,
Exeter,,,,50.717560999999996,-3.531214,EE_JGEx,Devon, ,,,,St. Thomas,0.63175,6691883.0,Abode Exeter The Royal Clarence,0.23079,10296297.0
Exminster,,,,50.672982,-3.501458,EE_JGEx,Devon, ,Exminster,0.91874,2649803.0,,,,,,
Faringdon,,,,51.11438,-0.98477,EE_JGEx, , ,Upper Farringdon,0.55167,2635129.0,,,,,,
Farnham,,,,51.207042,-0.7989390000000001,EE_JGEx,Surrey, ,Farnham,0.83061,2649660.0,,,,,,
Forde Abbey,,,,50.837223,-2.912196,EE_JGEx, , ,,,,Thorncombe,2.12932,2635999.0,Forde Abbey,0.60842,9253765.0
Fowey,,,,50.328865,-4.642749,EE_JGEx,Cornwall, ,,,,Polruan,0.83466,2640151.0,St Catherine's Castle,0.15101,6285809.0
Gittisham,,,,50.775032,-3.235245,EE_JGEx,Devon, ,Gittisham,0.59853,2648619.0,,,,,,
Glasney Gollege,,,,50.164373,-5.109795,EE_JGEx,Cornwall, ,,,,Penryn,0.57983,2640413.0,Penryn Railway Station,0.7258,6953327.0
Glynn,,,,50.470646,-4.735214,EE_JGEx,Cornwall, ,,,,Bodmin,0.78089,2655273.0,Bodmin General Railway Station,1.43867,6955263.0
Haccombe,,,,50.519228000000005,-3.567105,EE_JGEx,Devon, ,,,,Coffinswell,1.55405,2652645.0,Newton Abbot Railway Station,2.59221,6953232.0
